,Entity,Date,Open,High,Low,Close,Volume
155,Facebook,2013-01-02,27.440000534057617,28.18000030517578,27.420000076293945,28.0,69846400
156,Facebook,2013-01-03,27.8799991607666,28.46999931335449,27.59000015258789,27.770000457763672,63140600
157,Facebook,2013-01-04,28.01000022888184,28.93000030517578,27.82999992370605,28.76000022888184,72715400
158,Facebook,2013-01-07,28.690000534057617,29.790000915527344,28.649999618530277,29.420000076293945,83781800
159,Facebook,2013-01-08,29.51000022888184,29.600000381469727,28.86000061035156,29.059999465942383,45871300
160,Facebook,2013-01-09,29.670000076293945,30.600000381469727,29.489999771118164,30.59000015258789,104787700
161,Facebook,2013-01-10,30.600000381469727,31.450000762939453,30.280000686645508,31.299999237060547,95316400
162,Facebook,2013-01-11,31.280000686645508,31.959999084472656,31.100000381469727,31.71999931335449,89598000
163,Facebook,2013-01-14,32.08000183105469,32.209999084472656,30.6200008392334,30.950000762939453,98892800
164,Facebook,2013-01-15,30.63999938964844,31.709999084472656,29.8799991607666,30.100000381469727,173242600
165,Facebook,2013-01-16,30.209999084472656,30.350000381469727,29.530000686645508,29.850000381469727,75332700
166,Facebook,2013-01-17,30.07999992370605,30.420000076293945,30.030000686645508,30.13999938964844,40256700
167,Facebook,2013-01-18,30.309999465942383,30.440000534057617,29.270000457763672,29.65999984741211,49631500
168,Facebook,2013-01-22,29.75,30.88999938964844,29.739999771118164,30.729999542236328,55243300
169,Facebook,2013-01-23,31.100000381469727,31.5,30.799999237060547,30.81999969482422,48899800
170,Facebook,2013-01-24,31.270000457763672,31.489999771118164,30.809999465942383,31.07999992370605,43845100
171,Facebook,2013-01-25,31.40999984741211,31.93000030517578,31.1299991607666,31.540000915527344,54363600
172,Facebook,2013-01-28,31.8799991607666,32.5099983215332,31.809999465942383,32.470001220703125,59682500
173,Facebook,2013-01-29,32.0,32.06999969482422,30.709999084472656,30.790000915527344,72976500
174,Facebook,2013-01-30,30.979999542236328,31.489999771118164,30.8799991607666,31.239999771118164,87682100
175,Facebook,2013-01-31,29.149999618530277,31.46999931335449,28.739999771118164,30.979999542236328,190744900
176,Facebook,2013-02-01,31.01000022888184,31.020000457763672,29.6299991607666,29.729999542236328,85856700
177,Facebook,2013-02-04,29.059999465942383,29.200000762939453,28.01000022888184,28.11000061035156,92362200
178,Facebook,2013-02-05,28.26000022888184,28.959999084472656,28.040000915527344,28.63999938964844,47948200
179,Facebook,2013-02-06,28.739999771118164,29.290000915527344,28.65999984741211,29.049999237060547,38375900
180,Facebook,2013-02-07,29.11000061035156,29.149999618530277,28.270000457763672,28.649999618530277,34540100
181,Facebook,2013-02-08,28.88999938964844,29.170000076293945,28.51000022888184,28.549999237060547,37708800
182,Facebook,2013-02-11,28.61000061035156,28.68000030517578,28.040000915527344,28.26000022888184,37361800
