,Year,Month,Date,Open,High,Low,Close,Volume
0,2013,6,2013-06-03,24.270000457763672,24.31999969482422,23.709999084472656,23.850000381469727,35733800
1,2013,6,2013-06-04,23.88999938964844,23.93000030517578,23.31999969482422,23.520000457763672,34760800
2,2013,6,2013-06-05,23.350000381469727,23.709999084472656,22.790000915527344,22.899999618530277,53819700
3,2013,6,2013-06-06,22.989999771118164,23.09000015258789,22.670000076293945,22.96999931335449,31260700
4,2013,6,2013-06-07,23.030000686645508,23.399999618530277,22.86000061035156,23.290000915527344,38699200
5,2013,6,2013-06-10,24.059999465942383,24.600000381469727,23.989999771118164,24.32999992370605,58393000
6,2013,6,2013-06-11,24.030000686645508,24.350000381469727,24.0,24.030000686645508,29885900
7,2013,6,2013-06-12,24.15999984741211,24.26000022888184,23.57999992370605,23.770000457763672,26445800
8,2013,6,2013-06-13,23.71999931335449,23.82999992370605,23.270000457763672,23.729999542236328,31189300
9,2013,6,2013-06-14,23.559999465942383,23.88999938964844,23.26000022888184,23.6299991607666,30677100
10,2013,6,2013-06-17,23.90999984741211,24.25,23.75,24.020000457763672,33664500
11,2013,6,2013-06-18,24.09000015258789,24.690000534057617,24.07999992370605,24.209999084472656,36709100
12,2013,6,2013-06-19,24.200000762939453,25.190000534057617,24.100000381469727,24.309999465942383,31790600
13,2013,6,2013-06-20,24.280000686645508,24.75,23.649999618530277,23.899999618530277,42765600
14,2013,6,2013-06-21,24.59000015258789,24.700000762939453,24.049999237060547,24.530000686645508,45833900
15,2013,6,2013-06-24,23.950000762939453,24.11000061035156,23.3799991607666,23.940000534057617,40626000
16,2013,6,2013-06-25,24.13999938964844,24.43000030517578,24.040000915527344,24.25,24713200
17,2013,6,2013-06-26,24.51000022888184,24.649999618530277,23.989999771118164,24.15999984741211,29890300
18,2013,6,2013-06-27,24.239999771118164,24.84000015258789,24.209999084472656,24.65999984741211,34694100
19,2013,6,2013-06-28,24.68000030517578,24.979999542236328,24.420000076293945,24.8799991607666,96778900
20,2018,9,2018-09-04,173.5,173.88999938964844,168.8000030517578,171.16000366210938,29809000
21,2018,9,2018-09-05,169.49000549316406,171.1300048828125,166.6699981689453,167.17999267578125,31226700
22,2018,9,2018-09-06,166.97999572753906,166.97999572753906,160.0,162.52999877929688,41514800
23,2018,9,2018-09-07,160.30999755859375,164.6300048828125,160.16000366210938,163.0399932861328,24300600
24,2018,9,2018-09-10,163.50999450683594,165.00999450683594,162.16000366210938,164.17999267578125,20197700
25,2018,9,2018-09-11,163.94000244140625,167.19000244140625,163.72000122070312,165.94000244140625,20457100
26,2018,9,2018-09-12,163.25,164.49000549316406,161.8000030517578,162.0,24078100
27,2018,9,2018-09-13,162.0,163.32000732421875,160.86000061035156,161.36000061035156,25453800
28,2018,9,2018-09-14,161.72000122070312,162.83999633789062,160.33999633789062,162.32000732421875,21770400
29,2018,9,2018-09-17,161.9199981689453,162.05999755859375,159.77000427246094,160.5800018310547,21005300
30,2018,9,2018-09-18,159.38999938964844,161.75999450683594,158.8699951171875,160.3000030517578,22465200
31,2018,9,2018-09-19,160.0800018310547,163.44000244140625,159.47999572753906,163.05999755859375,19629000
32,2018,9,2018-09-20,164.5,166.4499969482422,164.47000122070312,166.02000427246094,18936000
33,2018,9,2018-09-21,166.63999938964844,167.25,162.80999755859375,162.92999267578125,45994800
34,2018,9,2018-09-24,161.02999877929688,165.6999969482422,160.8800048828125,165.41000366210938,19222800
